"First name","Last name","Age","Icecream","Color","Movie","Programming language"
Annmarie,Arana,27,Vanilla,Blue,Dirty Dancing,Python
Pasquale,Pennebaker,17,Lemon,Green,Star Wars,C++
Sumiko,Summerford,40,Pineapple,Black,Indiana Jones 3,Haskell
Gerry,Gering,56,Chocolate,Green,Citizen Kane,Java
Zoila,Zambrano,16,Vanilla,Orange,Dirty Dancing,C
Kirk,Kolodziej,18,Strawberry,Red,Pulp Fiction,Python
Olympia,Ousley,28,Lemon,Blue,Drive,Python
Autumn,Aldape,22,Apple,Blue,Dirty Dancing,Julia
Delena,Dishman,37,Vanilla,Red,Annie Hall,Fortran
Jona,Jesse,31,Mango,Yellow,Manhattan,Ruby
